OBJECTID,sug,nashir,gil,koter,status,sivug,water,hibur,X,Y,X_google,Y_google
31096,,,,,,,,,181731.8249,573059.1086,34.80840935,31.24850287
31097,,,,,,,,,181678.4839,573128.4404,34.80784678,31.24912644
31098,,,,,,,,,181693.0263,573137.2379,34.80799911,31.24920626
31099,,,,,,,,,181692.9994,573127.9179,34.80799918,31.2491222
31100,,,,,,,,,181694.6667,573131.2997,34.80801655,31.24915275
31101,,,,,,,,,181655.9293,573178.1928,34.80760813,31.24957443
31102,,,,,,,,,181692.8004,573150.8732,34.80799622,31.24932923
31103,,,,,,,,,181715.1998,573145.4351,34.80823157,31.24928091
31104,,,,,,,,,181726.0977,573133.6503,34.80834642,31.24917497
31105,,,,,,,,,181728.1167,573131.5302,34.80836769,31.24915592
31106,,,,,,,,,181727.4343,573138.4058,34.80836027,31.2492179
31107,,,,,,,,,181721.4668,573137.9632,34.80829764,31.24921372
31108,,,,,,,,,181720.1638,573132.9227,34.80828415,31.24916822
31109,,,,,,,,,181709.1536,573141.8707,34.80816824,31.24924856
31110,,,,,,,,,181704.9442,573110.1046,34.80812524,31.24896193
31111,,,,,,,,,181735.8298,573137.1507,34.80844845,31.24920686
31112,,,,,,,,,181731.1196,573140.6558,34.80839888,31.24923832
31113,,,,,,,,,181730.2008,573135.7472,34.80838941,31.24919402
31114,,,,,,,,,181712.3252,573170.6068,34.80820045,31.24950783
31115,,,,,,,,,181720.8507,573150.234,34.80829071,31.24932437
31116,,,,,,,,,181715.1332,573158.3255,34.80823039,31.24939716
31117,,,,,,,,,181747.7687,573168.2288,34.80857262,31.24948753
31118,,,,,,,,,181747.071,573155.9933,34.80856575,31.24937716
31119,,,,,,,,,181747.6202,573162.6712,34.80857127,31.24943741
31120,,,,,,,,,181650.4678,573192.6826,34.80755025,31.24970493
31121,,,,,,,,,181762.5361,573009.1408,34.80873362,31.24805321
31122,,,,,,,,,181764.8754,573005.8796,34.8087583,31.24802387
31123,,,,,,,,,181789.7796,573102.9103,34.80901609,31.24889979
31124,,,,,,,,,181801.6107,573073.4168,34.8091414,31.24863417
31125,,,,,,,,,181755.4955,573045.9025,34.80865833,31.24838453
31126,,,,,,,,,181792.1817,573100.6604,34.80904139,31.24887957
31127,,,,,,,,,181818.6305,573083.5572,34.80931969,31.24872617
31128,,,,,,,,,181819.9372,573079.5625,34.80933356,31.24869019
31129,,,,,,,,,181816.5804,573076.7063,34.80929842,31.24866432
31130,,,,,,,,,181829.5906,573089.7437,34.80943451,31.24878232
31131,,,,,,,,,181805.4805,573075.3462,34.80918195,31.24865169
31132,,,,,,,,,181801.0494,573117.9968,34.80913383,31.24903622
31133,,,,,,,,,181780.8527,573135.4889,34.80892116,31.24919332
31134,,,,,,,,,181787.1088,573113.4932,34.80898766,31.24899515
31135,,,,,,,,,181771.9218,573169.6547,34.80882612,31.24950117
31136,,,,,,,,,181754.3805,573153.7724,34.80864257,31.24935737
31137,,,,,,,,,181790.1854,573174.8181,34.80901765,31.24954833
31138,,,,,,,,,181789.5672,573173.1931,34.80901122,31.24953366
31139,,,,,,,,,181787.5436,573173.1271,34.80898998,31.249533
31140,,,,,,,,,181785.9165,573174.5419,34.80897285,31.2495457
31141,,,,,,,,,181781.5295,573173.8883,34.80892682,31.24953967
31142,,,,,,,,,181827.5064,573131.9762,34.80941105,31.24916315
31143,,,,,,,,,181821.0476,573141.9143,34.80934287,31.24925257
31144,,,,,,,,,181809.1039,573128.1624,34.80921801,31.24912816
31145,,,,,,,,,181498.093,572972.136,34.805959,31.24771089
31146,,,,,,,,,181501.688,572972.15,34.80599674,31.24771113
31147,,,,,,,,,181505.507,572972.164,34.80603683,31.24771138
31148,,,,,,,,,181560.954,572950.573,34.8066197,31.24751846
31149,,,,,,,,,181550.923,572944.234,34.80651464,31.24746096
31150,,,,,,,,,181541.448,572891.091,34.80641719,31.24698136
31151,,,,,,,,,181606.788,572912.147,34.8071023,31.24717338
31152,,,,,,,,,181630.775,572895.654,34.80735473,31.24702541
31153,,,,,,,,,181622.507,572887.518,34.80726824,31.24695176
31154,,,,,,,,,181596.892,572919.285,34.80699815,31.24723744
31155,,,,,,,,,181695.358,573137.795,34.80802357,31.24921136
31156,,,,,,,,,178882.111,572875.761,34.77850146,31.24675365
31157,,,,,,,,,178823.807,572908.561,34.77788808,31.24704744
31158,,,,,,,,,178823.959,572916.273,34.77788937,31.247117
31159,,,,,,,,,178817.703,572921.209,34.77782349,31.2471613
31160,,,,,,,,,178811.887,572924.369,34.77776231,31.2471896
31161,,,,,,,,,178798.295,572930.769,34.77761937,31.24724685
31162,,,,,,,,,178771.919,572914.737,34.77734314,31.24710134
31163,,,,,,,,,178763.567,572908.761,34.77725571,31.24704715
31164,,,,,,,,,178761.727,572961.297,34.77723426,31.2475209
31165,,,,,,,,,178768.079,572960.121,34.77730099,31.24751052
31166,,,,,,,,,178754.055,572978.905,34.77715301,31.24767944
31167,,,,,,,,,178717.391,572998.489,34.77676733,31.24785479
31168,,,,,,,,,178705.479,572946.881,34.77664438,31.24738892
31169,,,,,,,,,178707.471,572938.081,34.77666565,31.24730963
31170,,,,,,,,,178708.943,572934.137,34.77668126,31.24727411
31171,,,,,,,,,178701.343,572890.793,34.77660324,31.24688293
31172,,,,,,,,,178725.919,572900.129,34.77686085,31.24696798
31173,,,,,,,,,178719.855,572913.385,34.77679665,31.24708733
31174,,,,,,,,,178712.463,572914.137,34.77671903,31.24709385
